Series ID,A2390558X,A2390417V,A2390462F,A2390507X,A2390561L,A2390606F,A2390651T,A2390559A,A2390418W,A2390463J,A2390508A,A2390562R,A2390607J,A2390652V
Dec-1972,10.9,11.0,11.5,10.8,9.4,10.6,10.1,1.9,4.8,0.9,0.0,2.2,0.0,0.0
Mar-1973,11.1,11.2,11.8,11.0,9.6,10.8,10.6,1.8,1.8,2.6,1.9,2.1,1.9,5.0
Jun-1973,11.5,11.6,12.2,11.4,9.9,11.2,10.7,3.6,3.6,3.4,3.6,3.1,3.7,0.9
Sep-1973,12.1,12.2,12.8,12.0,10.5,11.4,11.0,5.2,5.2,4.9,5.3,6.1,1.8,2.8
Dec-1973,12.5,12.7,13.2,12.3,10.8,11.7,11.2,3.3,4.1,3.1,2.5,2.9,2.6,1.8
Mar-1974,12.9,13.0,13.8,12.6,11.2,12.1,11.6,3.2,2.4,4.5,2.4,3.7,3.4,3.6
Jun-1974,13.7,13.6,14.9,13.4,12.1,12.8,12.3,6.2,4.6,8.0,6.3,8.0,5.8,6.0
Sep-1974,14.6,14.6,15.9,14.4,13.1,13.7,13.3,6.6,7.4,6.7,7.5,8.3,7.0,8.1
Dec-1974,15.2,15.2,16.2,15.1,13.6,14.3,13.9,4.1,4.1,1.9,4.9,3.8,4.4,4.5
Mar-1975,15.8,15.8,16.7,15.7,14.2,14.9,14.5,3.9,3.9,3.1,4.0,4.4,4.2,4.3
Jun-1975,16.3,16.2,17.3,16.4,14.5,15.5,15.2,3.2,2.5,3.6,4.5,2.1,4.0,4.8
Sep-1975,16.8,16.6,17.8,16.9,15.0,16.2,15.7,3.1,2.5,2.9,3.0,3.4,4.5,3.3
Dec-1975,17.2,16.9,18.1,17.8,15.5,16.9,16.4,2.4,1.8,1.7,5.3,3.3,4.3,4.5
Mar-1976,17.7,17.4,18.6,18.3,15.8,17.3,16.8,2.9,3.0,2.8,2.8,1.9,2.4,2.4
Jun-1976,18.5,18.1,19.5,19.0,16.7,18.2,17.6,4.5,4.0,4.8,3.8,5.7,5.2,4.8
Sep-1976,19.0,18.4,20.0,19.4,17.2,18.7,18.1,2.7,1.7,2.6,2.1,3.0,2.7,2.8
Dec-1976,19.3,18.8,20.4,19.8,17.4,19.2,18.4,1.6,2.2,2.0,2.1,1.2,2.7,1.7
Mar-1977,20.0,19.5,21.0,20.3,17.9,19.8,18.9,3.6,3.7,2.9,2.5,2.9,3.1,2.7
Jun-1977,20.4,19.8,21.4,20.8,18.4,20.3,19.2,2.0,1.5,1.9,2.5,2.8,2.5,1.6
Sep-1977,20.8,20.3,21.7,21.3,18.8,21.1,19.9,2.0,2.5,1.4,2.4,2.2,3.9,3.6
Dec-1977,21.1,20.5,21.9,21.6,19.1,21.4,20.3,1.4,1.0,0.9,1.4,1.6,1.4,2.0
Mar-1978,21.4,20.8,22.2,22.1,19.3,21.7,20.6,1.4,1.5,1.4,2.3,1.0,1.4,1.5
Jun-1978,21.7,21.2,22.5,22.4,19.6,21.9,20.8,1.4,1.9,1.4,1.4,1.6,0.9,1.0
Sep-1978,22.0,21.6,22.6,22.6,19.8,22.1,21.0,1.4,1.9,0.4,0.9,1.0,0.9,1.0
Dec-1978,22.2,21.8,22.9,22.8,20.1,22.4,21.3,0.9,0.9,1.3,0.9,1.5,1.4,1.4
Mar-1979,22.8,22.4,23.5,23.4,21.0,23.0,21.8,2.7,2.8,2.6,2.6,4.5,2.7,2.3
Jun-1979,23.5,23.2,24.2,23.9,21.9,23.5,22.8,3.1,3.6,3.0,2.1,4.3,2.2,4.6
Sep-1979,24.2,24.0,24.8,24.6,22.8,24.2,23.1,3.0,3.4,2.5,2.9,4.1,3.0,1.3
Dec-1979,24.9,24.7,25.5,25.3,23.5,24.8,23.7,2.9,2.9,2.8,2.8,3.1,2.5,2.6
Mar-1980,26.0,25.6,26.8,26.4,24.4,25.8,24.4,4.4,3.6,5.1,4.3,3.8,4.0,3.0
Jun-1980,27.0,26.7,28.0,27.5,25.3,26.8,25.3,3.8,4.3,4.5,4.2,3.7,3.9,3.7
Sep-1980,28.2,27.5,29.2,28.8,26.4,27.9,26.0,4.4,3.0,4.3,4.7,4.3,4.1,2.8
Dec-1980,28.6,28.0,29.6,29.4,27.0,28.4,26.4,1.4,1.8,1.4,2.1,2.3,1.8,1.5
Mar-1981,29.3,28.5,30.3,30.4,27.7,28.9,27.1,2.4,1.8,2.4,3.4,2.6,1.8,2.7
Jun-1981,29.9,29.3,31.0,31.2,28.3,29.4,27.9,2.0,2.8,2.3,2.6,2.2,1.7,3.0
Sep-1981,30.7,29.7,31.5,32.1,28.9,30.4,28.2,2.7,1.4,1.6,2.9,2.1,3.4,1.1
